config	fold	mean_all_auc
seed20260700_pca512_k700	1	0.8816314306328873
seed20260700_pca512_k700	2	0.894523326572008
seed20260700_pca512_k700	3	0.8535741998720341
seed20260700_pca512_k700	4	0.889418299140994
seed20260700_pca512_k700	5	0.8960550008184646
seed20260701_pca768_k900	1	0.8743346447581578
seed20260701_pca768_k900	2	0.879671100099378
seed20260701_pca768_k900	3	0.8782280790122111
seed20260701_pca768_k900	4	0.9027322106810788
seed20260701_pca768_k900	5	0.8754024117422383
seed20260702_pca384_k550	1	0.9031950665014906
seed20260702_pca384_k550	2	0.8904937582531277
seed20260702_pca384_k550	3	0.8577943558816722
seed20260702_pca384_k550	4	0.8919776195597424
seed20260702_pca384_k550	5	0.9090958694821848
